"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động","Địa chỉ","Địa chỉ Thuế","Người đại diện","Điện thoại","Quản lý bởi","Loại hình DN","Ngành nghề chính"
"11","CÔNG TY CỔ PHẦN VẬT LIỆU BAO BÌ NHỰA IFC VINA","2301153518","Đang hoạt động","Lô CN - 33 KCN Thuận Thành II, Phường Mão Điền, Tỉnh Bắc Ninh, Việt Nam","Lô CN - 33 KCN Thuận Thành II, Phường Mão Điền, Tỉnh Bắc Ninh, Việt Nam","PHAN THỊ HƯƠNG Ngoài ra, PHAN THỊ HƯƠNG còn đại diện các doanh nghiệp, đơn vị: CÔNG TY CỔ PHẦN DƯỢC PHẨM ĐÔNG ÂU CÔNG TY TNHH THƯƠNG MẠI VÀ SẢN XUẤT ĐÔNG ÂU","0919 841 926 Ẩn số điện thoại","Thuế tỉnh Bắc Ninh","Công ty cổ phần ngoài NN","Sản xuất sản phẩm từ plastic"
"12","CÔNG TY TNHH DU LỊCH VÀ THƯƠNG MẠI SÔNG HỒNG","0100237411","Đang hoạt động","Số 68 đường Lê Văn Lương, Phường Thanh Xuân, Thành phố Hà Nội, Việt Nam","Số 68 đường Lê Văn Lương, Phường Thanh Xuân, TP Hà Nội, Việt Nam","LÊ CÔNG HOÀNG Ngoài ra, LÊ CÔNG HOÀNG còn đại diện các doanh nghiệp, đơn vị: Viện Nghiên cứu khoa học và Ứng dụng công nghệ ASEAN Lê Công Hoàng","045566688/04556999 Ẩn số điện thoại","Chi cục Thuế Thương mại điện tử","Công ty trách nhiệm hữu hạn ngoài NN","Đại lý, môi giới, đấu giá Chi tiết: Đại lý bán lẻ xăng dầu; Đại lý mua, bán, ký gửi hàng hoá;"
"13","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI AHUTI","0316870070","Đang hoạt động","80/4 đường số 8, Khu phố 7, Phường Hiệp Bình Chánh, Thành phố Thủ Đức, Thành phố Hồ Chí Minh, Việt Nam","80/4 đường số 8, Khu phố 7, Phường Hiệp Bình, TP Hồ Chí Minh, Việt Nam","LÊ THỊ ÁNH THƯ","0983 540 820 Ẩn số điện thoại","Thuế cơ sở 2 Thành phố Hồ Chí Minh","Công ty trách nhiệm hữu hạn 2 thành viên trở lên ngoài NN","Bán buôn tổng hợp Chi tiết: Bán buôn các loại hạt nhựa, các loại hóa chất liên quan đến sản xuất gia công các loại nhựa, hạt nhựa, gỗ, giấy"
"14","CÔNG TY TNHH YUNCHENG PLATE MAKING (BẮC NINH)","2300998287","Đang hoạt động","RBF-T/U, khu RBF, số 31, đường 3, VSIP Bắc Ninh, Xã Đại Đồng, Tỉnh Bắc Ninh, Việt Nam","RBF-T/U, khu RBF, số 31, đường 3, VSIP Bắc Ninh, Xã Đại Đồng, Tỉnh Bắc Ninh, Việt Nam","WANG, GAOSHENG Ngoài ra, WANG, GAOSHENG còn đại diện các doanh nghiệp, đơn vị: CÔNG TY TNHH VIỆT NAM DONG YUN PLATE MAKING MIỀN BẮC CÔNG TY TNHH VIỆT NAM DONGYUN PLATE MAKING CÔNG TY TNHH YUNCHENG PLATE MAKING (VIETNAM) CÔNG TY TNHH VIỆT NAM DONGYUN PLATE MAKING (Nộp hộ NTNN) Công ty TNHH Việt Nam Dong Yun Plate Making miền Bắc (Nộp thay)","0274-3757971 Ẩn số điện thoại","Thuế tỉnh Bắc Ninh","Công ty trách nhiệm hữu hạn ngoài NN","Sản xuất sản phẩm khác bằng kim loại chưa được phân vào đâu Chi tiết: Sản xuất, thiết kế và gia công sản xuất các loại mực in hình ống đồng, sản xuất trục in dập nổi, sản xuất trục in gốm sứ và chế tạo các thiết bị chế bản in, thiết bị dùng"
"15","Không tìm thấy","0100108159","Không tồn tại / Lỗi tra cứu","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy"
"16","Không tìm thấy","0107090486","Không tồn tại / Lỗi tra cứu","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy"
"17","Không tìm thấy","0101243150","Không tồn tại / Lỗi tra cứu","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy"
"18","Không tìm thấy","0103971652-001","Không tồn tại / Lỗi tra cứu","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy"
"19","Không tìm thấy","0108431890","Không tồn tại / Lỗi tra cứu","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy"
"20","Không tìm thấy","0311072367","Không tồn tại / Lỗi tra cứu","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy","Không tìm thấy"
