"STT","Tên công ty","Mã số thuế","Trạng thái hoạt động"
"101","Không tìm thấy","0110335506","Không tồn tại / Lỗi tra cứu"
"102","CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI BẢO TÍN","2300489000","Đang hoạt động"
"103","CÔNG TY TNHH MTV PETROLIMEX HÀ NỘI","0100107564","Đang hoạt động"
"104","Không tìm thấy","0105824371","Không tồn tại / Lỗi tra cứu"
"105","Không tìm thấy","2301175173","Không tồn tại / Lỗi tra cứu"
"106","CÔNG TY TNHH SẢN XUẤT DỊCH VỤ ĐẦU TƯ TIẾN THỊNH","0315149116","Đang hoạt động"
"107","CÔNG TY TNHH THƯƠNG MẠI DỊCH VỤ A SA","0310368280","Đang hoạt động"
"108","CÔNG TY TNHH THƯƠNG MẠI GODO","0108201093","Đang hoạt động"
"109","Không tìm thấy","0104777432","Không tồn tại / Lỗi tra cứu"
"110","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN CÔNG THƯƠNG VIỆT NAM - CHI NHÁNH ĐÔ THÀNH","0100111948-104","Đang hoạt động"
"111","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN NGOẠI THƯƠNG VIỆT NAM - CHI NHÁNH THANH XUÂN","0100112437-071","Đang hoạt động"
"112","NGÂN HÀNG THƯƠNG MẠI CỔ PHẦN Á CHÂU","0301452948","Đang hoạt động"
"113","Không tìm thấy","3602987727","Không tồn tại / Lỗi tra cứu"
"114","CÔNG TY TNHH THƯƠNG MẠI MÁY MÓC THIẾT BỊ KIM MINH","0314573026","Đang hoạt động"
"115","Trung tâm kỹ thuật tiêu chuẩn đo lường chất lượng 1","0100111602","Đang hoạt động"
"116","Không tìm thấy","0311609355-001","Không tồn tại / Lỗi tra cứu"
"117","Không tìm thấy","0108491152","Không tồn tại / Lỗi tra cứu"
"118","Không tìm thấy","0100774631-036","Không tồn tại / Lỗi tra cứu"
"119","CÔNG TY CỔ PHẦN HYUNDAI PHẠM VĂN ĐỒNG","0107604519","Đang hoạt động"
"120","CÔNG TY TNHH DỊCH VỤ VÀ GIẢI PHÁP KHOA HỌC SNS","0111018531","Đang hoạt động"
"121","CÔNG TY TNHH EUROFINS SẮC KÝ HẢI ĐĂNG","0311526885","Đang hoạt động"
"122","Không tìm thấy","0100686223","Không tồn tại / Lỗi tra cứu"
"123","CÔNG TY TNHH SẢN XUẤT GIA CÔNG ÉP NHỰA NHẬT Á","0315425856","Đang hoạt động"
"124","CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI NGUYỄN NHUNG (NN)","0110682757","Đang hoạt động"
"125","Không tìm thấy","0313168515-006","Không tồn tại / Lỗi tra cứu"
"126","Không tìm thấy","0109275475","Không tồn tại / Lỗi tra cứu"

